business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category
90604,Taqueria Los Amigos,5300 Mission St.,San Francisco,CA,94112,,,,,90604_20170502,05/02/2017 12:00:00 AM,,New Ownership,90604_20170502_103133,Foods not protected from contamination,Moderate Risk
67448,Soo Fong Restaurant,3801 03rd St 370,San Francisco,CA,94124,37.741829,-122.388098,"(37.741829, -122.388098)",,67448_20180507,05/07/2018 12:00:00 AM,92,Routine - Unscheduled,67448_20180507_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
1757,Dar Bar Pakistani/Indian Cusine,1412 Polk St,San Francisco,CA,94109,37.789784,-122.420455,"(37.789784, -122.420455)",,1757_20170928,09/28/2017 12:00:00 AM,86,Routine - Unscheduled,1757_20170928_103131,Moderate risk vermin infestation,Moderate Risk
4864,DRAGON CITY BAKERY & CAFE,2367 MISSION St,San Francisco,CA,94110,37.759174,-122.419066,"(37.759174, -122.419066)",+14155829718,4864_20161206,12/06/2016 12:00:00 AM,84,Routine - Unscheduled,4864_20161206_103157,Food safety certificate or food handler card not available,Low Risk
4667,EMPIRE THEATRE,085 WEST PORTAL Ave,San Francisco,CA,94127,37.739883,-122.466749,"(37.739883, -122.466749)",+14155664950,4667_20171206,12/06/2017 12:00:00 AM,100,Routine - Unscheduled,,,
73840,L'acajou Bakery and Cafe,498 09th St Ste. C,San Francisco,CA,94103,,,,,73840_20171207,12/07/2017 12:00:00 AM,71,Routine - Unscheduled,73840_20171207_103105,Improper cooling methods,High Risk
76437,Sweetheart Cafe,909 Grant Ave,San Francisco,CA,94108,,,,,76437_20160329,03/29/2016 12:00:00 AM,76,Routine - Unscheduled,76437_20160329_103113,Sewage or wastewater contamination,High Risk
82123,Cafe New Honolulu,888 Stockton St,San Francisco,CA,94108,,,,,82123_20171207,12/07/2017 12:00:00 AM,87,Routine - Unscheduled,82123_20171207_103131,Moderate risk vermin infestation,Moderate Risk
1146,Aux Delices Vietnam,2327 Polk St,San Francisco,CA,94109,37.798274,-122.422264,"(37.798274, -122.422264)",,1146_20180223,02/23/2018 12:00:00 AM,77,Routine - Unscheduled,1146_20180223_103103,High risk food holding temperature,High Risk
91503,Amawele's South African Kitchen,"101 Spear St., Suite A7",San Francisco,CA,94105,,,,,91503_20180516,05/16/2018 12:00:00 AM,,Reinspection/Followup,,,
